Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
Promociones PC,,Promociones PC,"Culiacan, Sinaloa, Mexiko",,,Promociones PC (xxxx - today),,,,,,
Promociones Oceano,1999 - today,Promociones Oceano,"Mazatlan, Sinaloa, Mexiko",,,Promociones Oceano (1999 - today),,Vicente Martinez Camacho (1999 - today),,,,
Promociones ONAC,,Promociones ONAC,"Tijuana, Baja California, Mexiko",Promociones ONAC,/site/main/img/ligen/small/1234.gif,Promociones ONAC ( - today),,,,,,
Promociones NOBA,2016 - today,Promociones NOBA,"Acapulco, Guerrero, Mexiko"," (2018 - today), (2016 - 2017)","/site/main/img/ligen/small/2100__2018-.gif,/site/main/img/ligen/small/2100__2016-2017.gif",Promociones NOBA (2016 - today),,,,https://www.facebook.com/reynobapromociones/,,
Promociones Munoz,1992 - today,Promociones Munoz,"San Luis Potosi, Mexiko",,,Promociones Munoz (1992 - today),,Jose Munoz (1992 - today),"Aniversario,MunozMania",https://www.facebook.com/pages/Promociones-Mu%C3%B1oz/183246171756744,,
Muchas Luchas,2015 - today,Promociones Muchas Luchas,"Guadalajara, Jalisco, Mexiko",Promociones Muchas Luchas,/site/main/img/ligen/small/1789.gif,Promociones Muchas Luchas (2015 - today),,,,https://www.facebook.com/Promociones-Muchas-Luchas-1566984080226266/,,
Promociones Monstruo,2015 - today,Promociones Monstruo,"Chilpancingo de los Bravo, Guerrero, Mexiko",,,Promociones Monstruo (2015 - today),,,,,,
Promociones Martinez,,Promociones Martinez,"Mazatlan, Sinaloa, Mexiko",,,Promociones Martinez (xx.xx.xxxx),,,,,,
Promociones Moreno,,Promociones Moreno,"Tapachula de Cordova y Ordonez, Chiapas, Mexiko",Promociones Moreno,/site/main/img/ligen/small/1318.gif,Promociones Moreno ( - today),,,,"http://promocionesmorenoaaa.webs.com/,https://www.facebook.com/pages/Promociones-moreno/829321970437742,http://www.youtube.com/user/PromoMorenoTv",,
Promociones Marquez,2009,Promociones Marquez,"California, USA",,,Promociones Marquez (2009),,,,,,
Promociones Magic Star,2015 - today,Promociones Magic Star,"Ecatepec de Morelos, Estado de Mexico, Mexiko",Promociones Magic Star,/site/main/img/ligen/small/1423.gif,Promociones Magic Star (2015 - today),,,,,,
Promociones Maxilar (2017-),2017 - today,Promociones Maxilar,"Tijuana, Baja California, Mexiko",,,Promociones Maxilar (2017 - today),,,,,,
Promociones MV,2010 - today,Promociones MV,"Tijuana, Baja California, Mexiko",Promociones MV,/site/main/img/ligen/small/858.gif,Promociones MV (2010 - today),,,,https://www.facebook.com/MVPromotionss,,
Promociones MDS,,Promociones MDS,"Mexico City, Mexiko",,,Promociones MDS ( - today),,,,,,
Promociones Luchisticas Mexicanas,,Promociones Luchisticas Mexicanas,"Ciudad Nezahualcoyotl, Estado de Mexico, Mexiko",Promociones Luchisticas Mexicanas,/site/main/img/ligen/small/1322.gif,Promociones Luchisticas Mexicanas ( - today),,,,,,
Promociones MDA,2015 - today,Promociones MDA,"Monterrey, Nuevo Leon, Mexiko",Promociones MDA,/site/main/img/ligen/small/1609.gif,Promociones MDA (2015 - today),,Mario de Anda (2015 - today),,https://www.facebook.com/MDA-lucha-libre-979227502098718/,,
Promociones Lover,,Promociones Lover,"San Luis Potosi, Mexiko",,,Promociones Lover ( - today),,,,,,
Promociones LMV,,Promociones LMV,"Tlalnepantla, Estado de Mexico, Mexiko",,,Promociones LMV ( - today),,,,,,
Promociones LGA,,Promociones LGA,"Monterrey, Nuevo Leon, Mexiko",,,Promociones LGA ( - today),,,,,,
Promociones LG,,Promociones LG,"Celaya, Guanajuato, Mexiko",,,Promociones LG (xxxx - today),,,,,,
Promociones Kdna,2011 - today,Promociones Kdna,"Monterrey, Nuevo Leon, Mexiko",Promociones Kdna,/site/main/img/ligen/small/1079.gif,Promociones Kdna (2011 - today),,"Enrique Cadena, Manuel Mazatan & Raziel Martinez (2011 - today)",,,,
Promociones Impacto,2018 - today,Promociones Impacto,"Guadalajara, Jalisco, Mexiko",Promociones Impacto,/site/main/img/ligen/small/1245.gif,Promociones Impacto (2018 - today),,Cesar Ropon (2018 - today),,https://www.facebook.com/promocionesimpactogdl/,,
Promociones Juba,,Promociones Juba,"Reynosa, Tamaulipas, Mexiko",,,Promociones Juba (xxxx - today),,,,,,
Promociones Juniors,,Promociones Juniors,"San Luis Potosi, Mexiko",Promociones Juniors,/site/main/img/ligen/small/1073.gif,Promociones Juniors ( - today),,Jose Alvarez Llamas ( - today),,"https://www.facebook.com/PromocionesJuniorsSlp,https://twitter.com/juniors_slp",,
Dynasty,2013 - today,The Dynasty,"Albany, New York, USA",The Dynasty,/site/main/img/ligen/small/1443.gif,The Dynasty (2013 - today),,"Chris Envy, (2018 - today),Chris Envy, & ,Mike King, (2016 - 2018),Chris Envy, (2013 - 2016)",,"http://wearethedynasty.com/,https://www.facebook.com/Wearethedynasty,https://twitter.com/wearethedynasty,https://www.instagram.com/wearethedynasty/,https://www.youtube.com/Dynastyprowrestling",,
Promociones Joker,,Promociones Joker,"Heroica Puebla de Zaragoza, Puebla, Mexiko",Promociones Joker,/site/main/img/ligen/small/1305.gif,Promociones Joker ( - today),,"Pequeno Joker, ( - today)",,"https://www.facebook.com/promocionesjoker,https://twitter.com/promojoker",,
Promociones HUMO,2013 - today,Promociones HUMO,Mexiko,Promociones HUMO,/site/main/img/ligen/small/1282.gif,Promociones HUMO (2013 - today),,Hugo Montemayor (2013 - today),,https://www.facebook.com/pages/HUMO-Promociones/452590621505908,,
The Crash,2011 - today,The Crash,"Tijuana, Baja California, Mexiko",The Crash,/site/main/img/ligen/small/1113.gif,The Crash (2011 - today),,,,"http://thecrash.mx/,https://www.facebook.com/thecrash.luchalibre,https://twitter.com/TheCrashLuchas,https://plus.google.com/107172702511307784006,https://www.youtube.com/c/TheCrashLuchaLibre",,
"Texoma Pro, NWA Texoma, TPW",2011 - today,Texoma Pro Wrestling,"Sherman, Texas, USA"," (11.2016 - today), (09.2012 - 10.2016), (2011 - 08.2012)","/site/main/img/ligen/small/974__201611-.gif,/site/main/img/ligen/small/974__201209-201610.gif,/site/main/img/ligen/small/974__2011-201208.gif","Texoma Pro Wrestling (11.2016 - today),National Wrestling Alliance Texoma (09.2012 - 11.2016),Texoma Pride Wrestling (2011 - 09.2012)",,Robert Langdon & Terri Hopper (2011 - today),,"http://texomapro.com/,https://www.facebook.com/TexomaProWrestling,https://twitter.com/texomapro,https://www.youtube.com/channel/UCBupTdirRaDU3hb6kwoo1cQ",,
TWF,1990 - 1991,Texas Wrestling Federation,"Texas, USA",,,Texas Wrestling Federation (1990 - 1991),,"Gary Hart, (1990 - 1991)",,,,
Promociones Hercules,,Promociones Hercules,"Xalapa de Enriquez, Veracruz, Mexiko",,,Promociones Hercules (xx.xx.xxxx),,,,,,
Texas Roughhouse,2022 - today,Texas Roughhouse,"Bedford, Texas, USA",Texas Roughhouse,/site/main/img/ligen/small/3296.gif,Texas Roughhouse (2022 - today),,,,https://www.facebook.com/RoughhouseTX,,
"NWA Bodyslam, TWE, ETW, TWA",1999 - today,Texas Wrestling Entertainment,"San Antonio, Texas, USA",Texas Wrestling Entertainment,/site/main/img/ligen/small/110.gif,"Texas Wrestling Entertainment (2012 - today),NWA Bodyslam (2011 - 2012),Texas Wrestling Entertainment (2004 - 2011),Extreme Texas Wrestling (2001 - 2004),Texas Wrestling Alliance (1999 - 2001)",,"Rudy Boy Gonzales, (2001 - today),Jose Lothario, & ,Shawn Michaels, (1999 - 2001)",,"https://texaswrestling.wordpress.com/,https://www.facebook.com/texaswrestlingentertainment",,
TOP,1993 - 2003,Texas Outlaw Promotions,"Mineral Wells, Texas, USA",Texas Outlaw Promotions,/site/main/img/ligen/small/2406.gif,Texas Outlaw Promotions (1993 - 2003),,"BA Dalton, (1993 - 2003)",,,,
TASW,1994 - today,Texas All-Star Wrestling ,"Texas, USA",Texas All-Star Wrestling ,/site/main/img/ligen/small/2376.gif,Texas All-Star Wrestling  (1994 - today),,Bruce Bennett (1994 - today),,"http://www.taswwrestling.com,https://www.facebook.com/TASW-Wrestling-143882992332978/,https://twitter.com/taswwrestling,https://www.youtube.com/user/TASWWrestling",,
TSW,2021 - today,Texas Style Wrestling,"Addison, Texas, USA",Texas Style Wrestling,/site/main/img/ligen/small/3208.gif,Texas Style Wrestling (2021 - today),,,,"https://texasstylewrestling.com,https://www.facebook.com/TXStyleWrestling,https://twitter.com/TSWPlus,https://www.instagram.com/tswplus/",,
"Terminal Athletic Club, Cliff Maupin Wrestling Promotion",1936 - 1960,Terminal Athletic Club,"Toledo, Ohio, USA",,,"Terminal Athletic Club (1947 - 1960),Cliff Maupin Wrestling Promotion (1936 - 1947)",,Cliff Maupin (1936 - 1960),,,,
Canna Pro,2020 - today,The Canna Pro Wrestling Show,"California, USA",The Canna Pro Wrestling Show,/site/main/img/ligen/small/2820.gif,The Canna Pro Wrestling Show (2020 - today),,,,"https://www.facebook.com/cannaproshow/,https://twitter.com/cannaproshow,https://www.instagram.com/cannaproshow/,https://www.youtube.com/channel/UC6rtZEVVDF8cGcCWa9z7HQQ",,
TVW,2007 - 2013,Tennessee Valley Wrestling,"Pulaski, Tennessee, USA",Tennessee Valley Wrestling,/site/main/img/ligen/small/1260.gif,Tennessee Valley Wrestling (2007 - 2013),,,,http://www.facebook.com/pages/Tvwpwa-Wrestling/121090874728737,,
TAP,1989 - 2016,Texas All Pro Wrestling,"Houston, Texas, USA",Texas All Pro Wrestling,/site/main/img/ligen/small/2407.gif,Texas All Pro Wrestling (1989 - 2016),,"Tugboat Taylor, (1989 - 2016)",,,,
"TMW, RCW",1995 - 2007,Tennessee Mountain Wrestling,"Knoxville, Tennessee, USA",Tennessee Mountain Wrestling,/site/main/img/ligen/small/589.gif,"Tennessee Mountain Wrestling (2003 - 2007),Ron's Championship Wrestling (2002 - 2003),Tennessee Mountain Wrestling (1995 - 2001)",,"Bob Orton Jr.,, Terry Landel & ,Tony Anthony, (2001 - 2003),Ron Garvin, (1995 - 2001)",,,,
TAPW,2017 - today,Tennessee All Pro Wrestling,"Morrison, Tennesse, USA",Tennessee All Pro Wrestling,/site/main/img/ligen/small/2919.gif,Tennessee All Pro Wrestling (2017 - today),,,,https://m.facebook.com/tapwrestling/,,
Televicentro,1953,Televicentro,"Miguel Hidalgo, Distrito Federal, Mexiko",,,Televicentro (1953),,,,,,
,2007 - 2009,Team 3D Academy,"Kissimmee, Florida, USA",Team 3D Academy,/site/main/img/ligen/small/515.gif,Team 3D Academy (2007 - 2009),,"Brother Devon, & ,Brother Ray, (2007 - 2009)",,"http://www.team3dacademy.com,https://twitter.com/team3dacademy,https://www.facebook.com/Team-3D-Academy-of-Professional-Wrestling-324244436643/,https://www.myspace.com/team3dacademy",,
Team 19/27 Promotions,2016 - today,Team 19/27 Promotions,"Tijuana, Baja California, Mexiko",,,Team 19/27 Promotions (2016 - today),,,,,,
TCW,2020 - today,Tarheel Championship Wrestling,"Lumberton, North Carolina, USA",Tarheel Championship Wrestling,/site/main/img/ligen/small/3214.gif,Tarheel Championship Wrestling (30.09.2020 - today),,,,"https://www.facebook.com/TarheelChampionshipWrestling,https://www.instagram.com/tcwnc/,https://www.youtube.com/channel/UCcsfDL8ASyEnUUVOoki8ZQQ",,
TOPW,2009,Tap Out Pro Wrestling,"Bristow, Oklahoma, USA",,,Tap Out Pro Wrestling (2009),,"Brandon Groom, (2009)",,,,
TBPW,2017 - today,Tampa Bay Pro Wrestling,"Tampa, Florida, USA",Tampa Bay Pro Wrestling,/site/main/img/ligen/small/1101.gif,Tampa Bay Pro Wrestling (2017 - today),,"Jay Lethal, (2017 - today)",,"http://tampabayprowrestling.com/,https://www.facebook.com/tampabayprowrestling,https://www.youtube.com/channel/UCmyVy_UxjKxeDWygSLA3fqA",,
TNT,1996,TNT Explosive Wrestling,"North Carolina, USA",,,TNT Explosive Wrestling (1996),,,,,,
TRUE,2015 - today,TRUE Wrestling,"Berwick, Pennsylvania, USA",TRUE Wrestling,/site/main/img/ligen/small/1580.gif,TRUE Wrestling (2015 - today),,,,"https://twitter.com/TRUEWrestling1,https://www.facebook.com/trueprowrestling,https://www.trueprowrestling.com/,https://www.youtube.com/user/TRUEwrestling1",,
Synergy,2017 - 2021,Synergy Pro Wrestling,"New Jersey, USA",Synergy Pro Wrestling,/site/main/img/ligen/small/2015.gif,Synergy Pro Wrestling (2017 - 2021),,Colin West (2017 - 2021),,,,
SWO,2001 - today,Susquehanna Wrestling Organization,"Pennsylvania, USA",Susquehanna Wrestling Organization,/site/main/img/ligen/small/1157.gif,Susquehanna Wrestling Organization (2001 - today),,,,"https://www.angelfire.com/extreme3/s-w-o/index.html,https://www.facebook.com/swoprowrestling,https://www.youtube.com/channel/UCTbII47PlZsVC-u7f2weIWw",,
TERMINUS,2022 - today,TERMINUS: Modern Age Grappling,"Atlanta, Georgia, USA",TERMINUS: Modern Age Grappling,/site/main/img/ligen/small/3171.gif,TERMINUS: Modern Age Grappling (2022 - today),,"Baron Black, & ,Jonathan Gresham, (2022 - today)",,https://twitter.com/terminuspro,,
TWE,2013 - today,TWE Chattanooga,"Red Bank, Tennessee, USA",TWE Chattanooga,/site/main/img/ligen/small/2622.gif,TWE Chattanooga (2013 - today),,,,"https://twitter.com/TWE_Chattanooga,https://www.facebook.com/TWEofChattanooga,https://www.youtube.com/channel/UCSDhahcKrHTd7PPVY-1Lm5A",,
TWA,2009 - today,Takedown Wrestling Alliance,"Garden City, Michigan, USA",Takedown Wrestling Alliance,/site/main/img/ligen/small/1611.gif,Takedown Wrestling Alliance (2009 - today),,"Keith Calhoun, (2009 - today)",,"http://takedownwrestling.weebly.com/,https://www.facebook.com/Takedown-Wrestling-Alliance-147721888622162/,https://twitter.com/officialtwapro,https://instagram.com/officialtwapro/",,
SCW,2020 - today,Survival Championship Wrestling,"New York, USA",Survival Championship Wrestling,/site/main/img/ligen/small/2869.gif,Survival Championship Wrestling (2020 - today),,,,https://www.facebook.com/SurvivalChampionshipWrestling,,
SPW,2000 - today,Supreme Pro Wrestling,"Sacramento, California, USA","Supreme Pro Wrestling, ( - 03.2014)","/site/main/img/ligen/small/1253.gif,/site/main/img/ligen/small/1253__-201403.gif",Supreme Pro Wrestling (2000 - today),,,,"http://www.supremeprowrestling.yolasite.com/,https://www.facebook.com/supremeprowrestling,https://twitter.com/spw_sacramento,https://www.youtube.com/channel/UCgvxyWUfNaDNsfo1o88UFzA",,
SSOW,1998 - 2000,Superstars Of Wrestling  ,"Texas, USA",Superstars Of Wrestling  ,/site/main/img/ligen/small/2408.gif,Superstars Of Wrestling   (1998 - 2000),,"Skandor Akbar, & Tom Lance (1998 - 2000)",,,,
"Supreme, AWA Supreme, NWA Supreme, SCW",1999 - today,Supreme Wrestling,"Madison, Indiana, USA","Supreme Wrestling, (04.2015 - 29.09.2017), (30.10.2004 - 2014)","/site/main/img/ligen/small/1618.gif,/site/main/img/ligen/small/1618__201504-20170929.gif,/site/main/img/ligen/small/1618__20041030-2014.gif","Supreme Wrestling (24.06.2018 - xx.xx.xxxx),All-Star Wrestling Alliance Supreme (xx.10.2017 - 23.06.2018),National Wrestling Alliance Supreme  (xx.04.2015 - xx.09.2017),American Wrestling All-Stars Supreme (xx.xx.2007 - xx.04.2015),American Wrestling Association Supreme (30.10.2004 - xx.xx.2007),Supreme Championship Wrestling (xx.01.2001 - 29.10.2004),South Central Wrestling (1999 - xx.01.2001)",,,,"http://www.supremewrestlingevents.com,https://www.facebook.com/awasupreme/,http://americanwrestlingallstars.webs.com/,https://twitter.com/NWASupreme",,
SWF,2012 - today,Superstars Of Wrestling Federation,"New Jersey, USA",Superstars Of Wrestling Federation,/site/main/img/ligen/small/1942.gif,Superstars Of Wrestling Federation (2012 - today),,"Rob Fury, (2012 - today)",,https://www.eventbrite.com/o/chad-minnes-12593931709,,
Superkick'D,2015 - today,Superkick'D,"Toronto, Ontario, Canada",Superkick'D,/site/main/img/ligen/small/1435.gif,Superkick'D (2015 - today),,"Ashley Sixx, & ,Kris Chambers, (2015 - today)",,"http://www.SuperkickeD.com,https://www.facebook.com/SuperkickD,https://twitter.com/SuperkickD,https://www.instagram.com/SuperkickD,https://www.youtube.com/user/Superkickd",,
Super X GPCW,2004 - today,Super X Grand Prix Championship Wrestling,"Mexico City, Mexiko",Super X Grand Prix Championship Wrestling,/site/main/img/ligen/small/646.gif,Super X Grand Prix Championship Wrestling (2004 - today),,"Juventud Guerrera, (2004 - today)",,https://www.facebook.com/pages/Super-XLucha-Libre/183171761714761,,
SKPW,2018 - today,SuperKrazee Pro Wrestling,"Westville, New Jersey, USA",SuperKrazee Pro Wrestling,/site/main/img/ligen/small/2636.gif,SuperKrazee Pro Wrestling (2018 - today),,"O-Dogg, (2018 - today)",,"https://twitter.com/superkrazeepro/,https://www.facebook.com/pg/SuperkrazeeWrestling-170414196908722/,https://www.instagram.com/superkrazeewrestling/,https://www.youtube.com/channel/UCVTt7NUQzsyLu7puqkC01TA",,
SPW,"2003 - 2006, 2019",Sunray Pro Wrestling,"Florida, USA",Sunray Pro Wrestling,/site/main/img/ligen/small/2632.gif,Sunray Pro Wrestling (2003 - today),,Gary Cooper (2003 - today),,http://sunrayprowrestling.com/,,
SWA,2001 - 2006,Superior Wrestling Alliance,"Sault Sainte Marie, Michigan, USA",Superior Wrestling Alliance,/site/main/img/ligen/small/3095.gif,Superior Wrestling Alliance (2001 - 2006),,"Buckshot Gravelle, Fred Killips & Mike Willette (2001 - 2006)",,,,
SOW,1976 - 1984,Superstars Of Wrestling ,"Windsor, Ontario, Canada",,,Superstars Of Wrestling  (1976 - 1984),,"George Cannon, (1976 - 1984)",,,,
Summit Pro,2021 - today,Summit Pro,"Indiana, USA",Summit Pro,/site/main/img/ligen/small/3248.gif,Summit Pro (2021 - today),,,,"https://www.facebook.com/SummitProIndy,https://twitter.com/SUMMITprowres,https://www.youtube.com/channel/UC-9fiAkxxmcUXR-Qa4soBXA",,
SSPWA,2015,Sunshine State Pro Wrestling Alliance,"Port Richey, Florida, USA",Sunshine State Pro Wrestling Alliance,/site/main/img/ligen/small/1561.gif,Sunshine State Pro Wrestling Alliance (2015),,"Ralph Mosca, (2015)",,https://www.facebook.com/pages/Sunshine-State-Pro-Wrestling-Alliance/1450398191925295,,
SWE,2016 - today,Sunbelt Wrestling Entertainment,"Adel, Georgia, USA",Sunbelt Wrestling Entertainment,/site/main/img/ligen/small/1814.gif,Sunbelt Wrestling Entertainment (2016 - today),,Brooks Robinson (2016 - today),,"https://www.facebook.com/sunbeltwrestling/,https://twitter.com/swegeorgia",,
SWA,2009 - today,Suffolk Wrestling Alliance,"New York, USA",Suffolk Wrestling Alliance,/site/main/img/ligen/small/1504.gif,Suffolk Wrestling Alliance (2009 - today),,,,"http://www.swarevolution.com/#,https://www.facebook.com/suffolkwrestlingalliance,https://twitter.com/ShutUpAndWrestl,https://www.youtube.com/user/ShutUpAndWrestle,https://instagram.com/SWArevolution/,https://plus.google.com/100261104849309076491/posts",,
Style Battle,2017 - 2018,Style Battle,"Florida, USA",Style Battle,/site/main/img/ligen/small/1898.gif,Style Battle (2017 - 2018),,"Gabe Sapolsky, (2017 - 2018)",,https://twitter.com/WWNStyleBattle,,
SSW,2014 - 2017,Strong Style Wrestling,"Indiana, USA",Strong Style Wrestling,/site/main/img/ligen/small/1404.gif,Strong Style Wrestling (2014 - 2017),,,,,,
SNPW,2011 - today,Stricktly Nsane Pro Wrestling,"Illinois, USA",Stricktly Nsane Pro Wrestling,/site/main/img/ligen/small/1396.gif,Stricktly Nsane Pro Wrestling (2011 - today),,,,https://www.facebook.com/profile.php?id=100007954242366&fref=ts,,
Stoner U,2015 - today,Stoner Brothers University,"Oakland, California, USA",Stoner Brothers University,/site/main/img/ligen/small/2257.gif,Stoner Brothers University (2015 - today),,"Rick Scott Stoner, & ,Scott Rick Stoner, (2015 - today)",,"http://www.stonerudojo.com/,https://www.facebook.com/stonerbrothersu/,https://www.youtube.com/channel/UCzWD-VxuEmvUetsOAUzxTgg",,
SMW,2016 - today,Strong Minds of Wrestling,"Bogota, Kolumbien",Strong Minds of Wrestling,/site/main/img/ligen/small/1287.gif,Strong Minds of Wrestling (2016 - today),,Sebas NM Garcia & Vicente Ramos (2016 - today),"The Future,Face 2 Face",https://www.facebook.com/SMWCOL/,,
SFP,2018 - today,Suburban Fight Pro,"Los Angeles, California, USA",Suburban Fight Pro,/site/main/img/ligen/small/2158.gif,Suburban Fight Pro (2018 - today),,,,https://twitter.com/Suburbanxfight,,
SW,2006 - 2017,Stranglehold Wrestling,"Ontario, Canada",Stranglehold Wrestling,/site/main/img/ligen/small/215.gif,Stranglehold Wrestling (2006 - 2017),,"Bill Skullion, (2006 - 2017)",,http://www.strangleholdwrestling.com,,
SPW,2008 - 2013,Steeltown Pro Wrestling,"Selkirk, Manitoba, Canada",Steeltown Pro Wrestling,/site/main/img/ligen/small/874.gif,Steeltown Pro Wrestling (2008 - 2013),,"TJ Bratt, (2013),Rob Stardom, (2008 - 2013)",,"http://www.steeltownprowrestling.ca/,https://www.facebook.com/SteeltownPro/",,
SRPW,2002 - 2016,Steel Rage Pro Wrestling,"Oklahoma, USA",Steel Rage Pro Wrestling,/site/main/img/ligen/small/2912.gif,Steel Rage Pro Wrestling (2002 - 2016),,"Main Event Reality Combat (2011 - 2016),Sarah Harmon (2002 - 2006)",,,,
"SPCW, SDW",1998 - today,Steel Domain Wrestling,"West St. Paul, Minnesota, USA","Steel Domain Wrestling, (2016 - today)","/site/main/img/ligen/small/333.gif,/site/main/img/ligen/small/333__2016-.gif","Steel Domain Wrestling (2001 - today),St. Paul Championship Wrestling (1998 - 2001)",,Ed Hellier (1998 - today),,"http://www.steeldomainwrestling.com,https://www.facebook.com/steeldomainwrestling,https://twitter.com/officialsdw,https://www.youtube.com/channel/UCHSo3U1Wiey8oryMQt9-mqw",,
SCW,1994 - 1999,Steel City Wrestling,"Irwin, Pennsylvania, USA",Steel City Wrestling,/site/main/img/ligen/small/107.gif,Steel City Wrestling (1994 - 1999),,"Norm Connors, (1994 - 1999)",,,,
SVCW,2001,Steel Valley Championship Wrestling,"Girard, Ohio, USA",,,Steel Valley Championship Wrestling (2001),,Tom Dunn (2001),,,,
SPW,2013 - 2014,Stateline Pro Wrestling,"Illinois, USA",Stateline Pro Wrestling,/site/main/img/ligen/small/1409.gif,Stateline Pro Wrestling (2013 - 2014),,,,https://www.facebook.com/statelineprowrestling?fref=ts,,
SCPW,2014 - 2016,Steel City Pro Wrestling,"Hamilton, Ontario, Canada",Steel City Pro Wrestling,/site/main/img/ligen/small/1596.gif,Steel City Pro Wrestling (2014 - 2016),,,Shock Value,"http://www.steelcityprowrestling.com/,https://www.facebook.com/SteelCityProWrestling/,https://twitter.com/steelcitypw,https://www.youtube.com/channel/UCopBEHOzCIr5qOHffuivfIw",,
SSCW,2002 - 2004,Stars & Stripes Championship Wrestling,"New Jersey, USA",Stars & Stripes Championship Wrestling,/site/main/img/ligen/small/363.gif,Stars & Stripes Championship Wrestling (2002 - 2004),,Carmine Sabia Jr. (2002 - 2004),,,,
SWF,2004 - today,Star Wrestling Federation,"Mesquite, Texas, USA",Star Wrestling Federation,/site/main/img/ligen/small/145.gif,Star Wrestling Federation (2004 - today),,,,https://www.facebook.com/StarWrestlingFederation,,
SAW,2018 - today,Stand Alone Wrestling,"New Jersey, USA",Stand Alone Wrestling,/site/main/img/ligen/small/2107.gif,Stand Alone Wrestling (2018 - today),,Chad Minnes & Preacher Finneus James (2018 - today),,"https://standalonewrestling.com,https://www.facebook.com/standalonewrestling,https://twitter.com/sawprowrestling,https://www.instagram.com/standalonewrestling",,
SCW,2010 - 2014,Squared Circle Wrestling ,"North York, Ontario, Canada",Squared Circle Wrestling ,/site/main/img/ligen/small/855.gif,Squared Circle Wrestling  (2010 - 2014),,"Rob Fuego, (2010 - 2014)",,http://www.squaredcirclewrestling.ca/,,
NWA St. Louis,1942 - 1985,St. Louis Wrestling Club,"St. Louis, Missouri, USA",St. Louis Wrestling Club,/site/main/img/ligen/small/347.gif,"St. Louis Wrestling Club (1959 - 1985),Sam Muchnick Sports Attractions (1942 - 1958)",,"Sam Muchnick, (1942 - 1982),Bob Geigel, (1982 - 1985)",,,Wrestling At The Chase,
2CW,2006 - 2015,Squared Circle Wrestling,"Syracuse, New York, USA",Squared Circle Wrestling,/site/main/img/ligen/small/562.gif,Squared Circle Wrestling (2006 - 2015),,Josh Jeanneret (2006 - 2015),"Living On The Edge,2CWAthon,Unfinished Business","http://www.2CWrestling.com,https://www.facebook.com/2CWWrestling,https://twitter.com/2cwrestling,https://www.instagram.com/2cwrestling/,https://www.youtube.com/channel/UC0JO0z04YwlpUq1hMVtO2ow,https://www.snapchat.com/add/Squared2cw",,
,2019 - 2020,Squared Circle Project,"Nyack, New York, USA",Squared Circle Project,/site/main/img/ligen/small/2588.gif,Squared Circle Project (2019 - 2020),,"Ari Azteca, (2019 - 2020)",,"https://www.facebook.com/SquaredCircleProject/,https://twitter.com/SCProject2019,https://www.instagram.com/squaredcircleproject/,https://www.youtube.com/channel/UC-dLSdvyNxUhO7e3_a6isvw",,
"SLW, VCW, Spartan Wrestling",2017 - today,Spartan Pro Wrestling,"Gadsden, Alabama, USA"," (07.2021 - today), (2019 - 06.2021), (2017 - 2018)","/site/main/img/ligen/small/2106__202107-.gif,/site/main/img/ligen/small/2106__2019-202106.gif,/site/main/img/ligen/small/2106__2017-2018.gif","Spartan Pro Wrestling (07.2021 - today),Victory Championship Wrestling (2019 - 06.2021),Southern Legacy Wrestling (2017 - 2019)",,,,"https://www.spartanprowrestling.com/,https://www.facebook.com/SpartanProWrestling,https://www.youtube.com/channel/UCeyrLxEeU7KRyJIedzAJXJw",,
SWG,2009 - today,Spartan Wrestling Group,"Tampico, Tamaulipas, Mexiko",Spartan Wrestling Group,/site/main/img/ligen/small/736.gif,Spartan Wrestling Group (2009 - today),,,,,,
"Spectator Sports, Studio Wrestling",1958 - 1974,Spectator Sports,"Pittsburgh, Pennsylvania, USA",Spectator Sports,/site/main/img/ligen/small/381.gif,"Super Pro Wrestling (06.1973 - 1974),Spectator Sports (1958 - 06.1973)",,"Pedro Martinez, (1972 - 1974),Newton Tattrie, (1971 - 1972),Bruno Sammartino, (1966 - 1971),Toots Mondt, (1958 - 1966)",,,Studio Wrestling,
SWWF,1996,Southwest Wrestling Federation,"Florida, USA",,,Southwest Wrestling Federation (1996),,,,,,
SWE,2016 - 2021,Southwest Wrestling Entertainment,"Texas, USA",Southwest Wrestling Entertainment,/site/main/img/ligen/small/2640.gif,Southwest Wrestling Entertainment (2016 - 2021),,Tom Lance (2016 - 2021),,"https://swefury.com/,https://www.facebook.com/SouthwestWE,https://twitter.com/SWEFuryTV,https://www.instagram.com/swefurytv/,https://www.youtube.com/channel/UCPRYkaXii84ArrHkO4lbcqw",,
"TWA, SPW",1999 - 2009,Southwest Premier Wrestling,"Tyler, Texas, USA",Southwest Premier Wrestling,/site/main/img/ligen/small/1128.gif,"Southwest Premier Wrestling (2001 - 2009),Texas Wrestling Association (1999 - 2001)",,Mike Paige (2001 - 2009),,,,
"TAW, SWCW",1978 - 1986,Southwest Championship Wrestling,"San Antonio, Texas, USA",Southwest Championship Wrestling,/site/main/img/ligen/small/681.gif,"Texas All-Star Wrestling (xx.04.1985 - xx.11.1986),Southwest Championship Wrestling (xx.xx.1978 - xx.04.1985)",,"Fred Behrend (xx.04.1985 - xx.11.1986),Joe Blanchard, (xx.xx.1978 - xx.04.1985)",,,,
